T,Smoothed_Pro
1,9.776443834258487e-07
2,9.778212894687927e-07
3,9.779981955117368e-07
4,9.781751015546808e-07
5,9.783520075976248e-07
6,9.785289136405689e-07
7,9.78705819683513e-07
8,9.78882725726457e-07
9,9.79059631769401e-07
10,9.79236537812345e-07
11,9.79413443855289e-07
12,9.79590349898233e-07
13,9.79767255941177e-07
14,9.799441619841211e-07
15,9.801210680270652e-07
16,9.802979740700092e-07
17,9.804748801129532e-07
18,9.80651786155897e-07
19,9.80828692198841e-07
20,9.810055982417851e-07
21,9.811825042847292e-07
22,9.813594103276732e-07
23,9.815363163706172e-07
24,9.817132224135613e-07
25,9.818901284565053e-07
26,9.820670344994493e-07
27,9.822439405423934e-07
28,9.824208465853374e-07
29,9.825977526282814e-07
30,9.827746586712254e-07
31,9.829515647141695e-07
32,9.831284707571135e-07
33,9.833053768000575e-07
34,9.834822828430016e-07
35,9.836591888859454e-07
36,9.838360949288894e-07
37,9.840130009718335e-07
38,9.841899070147775e-07
39,9.843668130577215e-07
40,9.845437191006656e-07
41,9.847206251436096e-07
42,9.848975311865536e-07
43,9.850744372294977e-07
44,9.852513432724417e-07
45,9.854282493153857e-07
46,9.856051553583298e-07
47,9.857820614012738e-07
48,9.859589674442178e-07
49,9.861358734871619e-07
50,9.86312779530106e-07
51,9.8648968557305e-07
52,9.866665916159938e-07
53,9.868434976589378e-07
54,9.870204037018818e-07
55,9.871973097448259e-07
56,9.873742157877699e-07
57,9.87551121830714e-07
58,9.87728027873658e-07
59,9.87904933916602e-07
60,9.88081839959546e-07
61,9.8825874600249e-07
62,9.88435652045434e-07
63,9.886125580883781e-07
64,9.887894641313222e-07
65,9.889663701742662e-07
66,9.891432762172102e-07
67,9.893201822601543e-07
68,9.894970883030983e-07
69,9.89673994346042e-07
70,9.898509003889861e-07
71,9.900278064319302e-07
72,9.902047124748742e-07
73,9.903816185178182e-07
74,9.905585245607623e-07
75,9.907354306037063e-07
76,9.909123366466503e-07
77,9.910892426895944e-07
78,9.912661487325384e-07
79,9.914430547754824e-07
80,9.916199608184265e-07
81,9.917968668613705e-07
82,9.919737729043145e-07
83,9.921506789472586e-07
84,9.923275849902026e-07
85,9.925044910331464e-07
86,9.926813970760905e-07
87,9.928583031190345e-07
88,9.930352091619785e-07
89,9.932121152049226e-07
90,9.933890212478666e-07
91,9.935659272908106e-07
92,9.937428333337547e-07
93,9.939197393766987e-07
94,9.940966454196427e-07
95,9.942735514625868e-07
96,9.944504575055308e-07
97,9.946273635484748e-07
98,9.948042695914189e-07
99,9.949811756343629e-07
100,9.95158081677307e-07
101,9.95334987720251e-07
102,9.955118937631948e-07
103,9.956887998061388e-07
104,9.958657058490828e-07
105,9.960426118920269e-07
106,9.96219517934971e-07
107,9.96396423977915e-07
108,9.96573330020859e-07
109,9.96750236063803e-07
110,9.96927142106747e-07
111,9.97104048149691e-07
112,9.97280954192635e-07
113,9.974578602355791e-07
