T,Pro
1,0.0
2,4.057168997357227e-09
3,8.109473418229817e-09
4,1.2156915602522989e-08
5,1.6199497890141962e-08
6,2.0237222620991954e-08
7,2.427009213497819e-08
8,2.8298108772005883e-08
9,3.232127487198026e-08
10,3.633959277480652e-08
11,4.035306482038993e-08
12,4.436169334863565e-08
13,4.836548069944895e-08
14,5.236442921273501e-08
15,5.6358541228399044e-08
16,6.034781908634635e-08
17,6.433226512648205e-08
18,6.831188168871145e-08
19,7.228667111293967e-08
20,7.625663573907201e-08
21,8.022177790701368e-08
22,8.418209995666987e-08
23,8.813760422794579e-08
24,9.208829306074672e-08
25,9.60341687949778e-08
26,9.99752337705443e-08
27,1.0391149032735146e-07
28,1.0784294080530447e-07
29,1.1176958754430853e-07
30,1.1569143288426888e-07
31,1.1960847916509073e-07
32,1.2352072872667936e-07
33,1.2742818390893986e-07
34,1.313308470517776e-07
35,1.3522872049509766e-07
36,1.3912180657880538e-07
37,1.4301010764280592e-07
38,1.4689362602700443e-07
39,1.5077236407130635e-07
40,1.5464632411561664e-07
41,1.5851550849984063e-07
42,1.623799195638836e-07
43,1.6623955964765068e-07
44,1.700944310910472e-07
45,1.7394453623397819e-07
46,1.7778987741634897e-07
47,1.816304569780649e-07
48,1.85466277259031e-07
49,1.892973405991526e-07
50,1.9312364933833474e-07
51,1.969452058164829e-07
52,2.0076201237350222e-07
53,2.0457407134929774e-07
54,2.083813850837749e-07
55,2.1218395591683885e-07
56,2.1598178618839474e-07
57,2.1977487823834795e-07
58,2.2356323440660356e-07
59,2.2734685703306675e-07
60,2.3112574845764292e-07
61,2.348999110202371e-07
62,2.3866934706075457e-07
63,2.4243405891910067e-07
64,2.4619404893518047e-07
65,2.4994931944889925e-07
66,2.536998728001622e-07
67,2.574457113288746e-07
68,2.611868373749416e-07
69,2.649232532782685e-07
70,2.686549613787604e-07
71,2.723819640163227e-07
72,2.761042635308603e-07
73,2.7982186226227894e-07
74,2.8353476255048323e-07
75,2.872429667353788e-07
76,2.909464771568708e-07
77,2.9464529615486435e-07
78,2.9833942606926474e-07
79,3.020288692399772e-07
80,3.057136280069069e-07
81,3.0939370470995907e-07
82,3.13069101689039e-07
83,3.167398212840517e-07
84,3.204058658349027e-07
85,3.2406723768149703e-07
86,3.277239391637399e-07
87,3.313759726215367e-07
88,3.3502334039479246e-07
89,3.386660448234123e-07
90,3.423040882473018e-07
91,3.459374730063659e-07
92,3.495662014405098e-07
93,3.531902758896391e-07
94,3.5680969869365846e-07
95,3.6042447219247354e-07
96,3.6403459872598936e-07
97,3.676400806341111e-07
98,3.7124092025674414e-07
99,3.7483711993379365e-07
100,3.7842868200516475e-07
101,3.8201560881076266e-07
102,3.8559790269049276e-07
103,3.891755659842603e-07
104,3.927486010319701e-07
105,3.9631701017352767e-07
106,3.9988079574883857e-07
107,4.034399600978072e-07
108,4.0699450556033956e-07
109,4.105444344763404e-07
110,4.1408974918571506e-07
111,4.176304520283691e-07
112,4.2116654534420705e-07
113,4.246980314731346e-07
114,4.28224912755057e-07
115,4.317471915298792e-07
116,4.352648701375066e-07
117,4.387779509178446e-07
118,4.4228643621079793e-07
119,4.4579032835627227e-07
120,4.4928962969417256e-07
121,4.527843425644041e-07
122,4.562744693068723e-07
123,4.5976001226148185e-07
124,4.632409737681386e-07
125,4.6671735616674757e-07
126,4.701891617972136e-07
127,4.736563929994425e-07
128,4.771190521133391e-07
129,4.805771414788085e-07
130,4.840306634357565e-07
131,4.874796203240878e-07
132,4.909240144837077e-07
133,4.943638482545216e-07
134,4.977991239764345e-07
135,5.012298439893521e-07
136,5.046560106331787e-07
137,5.080776262478205e-07
138,5.114946931731823e-07
139,5.149072137491691e-07
140,5.183151903156866e-07
141,5.217186252126394e-07
142,5.251175207799332e-07
143,5.285118793574732e-07
144,5.319017032851645e-07
145,5.352869949029124e-07
146,5.386677565506219e-07
147,5.420439905681982e-07
148,5.45415699295547e-07
149,5.487828850725732e-07
